index,userID,placeID,rating,food_rating,service_rating
169,U1055,132572,2,2,2
170,U1055,135028,2,2,2
171,U1055,135025,2,2,2
172,U1083,132572,2,2,2
173,U1083,135049,0,0,0
174,U1055,135106,2,2,2
175,U1083,135072,1,2,2
176,U1083,135074,2,2,2
177,U1083,132755,2,2,2
178,U1083,135044,1,2,2
179,U1055,135048,2,2,2
181,U1055,132754,2,2,2
182,U1055,132825,2,2,2
184,U1053,135032,2,2,1
185,U1053,132825,1,2,0
187,U1035,135018,1,2,1
188,U1035,132773,2,1,2
189,U1053,135042,2,1,2
190,U1053,135053,2,2,0
191,U1053,132754,1,2,1
194,U1053,135025,2,1,2
196,U1053,135060,2,2,1
199,U1064,135042,1,2,1
200,U1081,135069,1,0,1
201,U1064,135057,1,1,2
203,U1081,135043,0,0,1
204,U1064,135069,0,0,1
205,U1081,135039,0,0,0
206,U1064,135060,1,0,1
207,U1064,135052,2,0,2
208,U1081,132825,1,0,1
209,U1081,135032,0,1,1
210,U1081,135028,1,2,2
211,U1081,135085,1,2,1
212,U1081,135052,0,1,1
213,U1081,135030,1,1,1
214,U1081,135027,0,1,1
216,U1001,132825,2,2,1
220,U1014,135069,1,0,1
222,U1088,135057,1,2,2
224,U1014,135057,1,0,2
226,U1088,135041,2,2,2
227,U1088,135069,1,2,2
229,U1014,135043,1,0,0
230,U1014,135042,1,1,0
231,U1088,135071,0,0,0
232,U1088,135054,2,2,2
235,U1088,135032,2,2,2
245,U1056,135027,2,2,2
246,U1056,135085,2,2,2
247,U1056,135052,2,2,2
248,U1056,132825,2,2,2
252,U1134,135044,1,1,1
253,U1134,132825,1,2,1
254,U1134,135059,2,1,0
256,U1134,135046,2,1,1
257,U1134,135085,2,1,2
258,U1134,135079,1,1,2
259,U1134,135055,2,2,2
260,U1134,132754,2,1,1
261,U1134,132572,0,0,0
262,U1134,135075,2,1,1
265,U1134,135074,2,2,2
266,U1106,135041,1,1,1
267,U1126,135069,0,0,0
268,U1106,135032,0,0,0
269,U1126,135057,2,2,2
271,U1106,135028,2,1,0
273,U1126,135106,2,2,2
274,U1126,135052,2,1,1
275,U1126,135041,2,1,1
277,U1126,135054,1,2,1
280,U1124,135054,1,1,1
281,U1044,132768,2,2,2
283,U1124,135032,1,1,1
284,U1124,135071,1,0,1
286,U1124,135069,1,1,1
288,U1124,135057,1,1,1
289,U1124,135039,1,1,1
291,U1018,135043,0,0,0
292,U1125,135043,1,1,2
298,U1125,135032,1,2,1
300,U1119,135021,0,0,0
302,U1125,135042,1,1,1
305,U1119,132768,2,2,2
306,U1125,135060,1,0,2
310,U1018,135057,1,1,0
312,U1018,135032,1,1,1
314,U1018,135025,1,1,1
315,U1018,135069,0,1,1
317,U1076,135039,2,2,1
319,U1076,135027,0,1,1
320,U1076,135042,2,2,2
322,U1076,135073,2,1,1
324,U1022,135025,0,0,0
325,U1022,135032,1,1,2
326,U1022,135057,2,2,2
327,U1022,135060,1,1,2
328,U1022,135052,2,2,2
333,U1022,135073,2,2,2
336,U1094,135054,0,0,0
338,U1094,135057,0,1,0
339,U1094,135071,0,1,0
343,U1094,135069,0,1,0
345,U1116,135060,0,0,0
347,U1116,135085,2,2,2
348,U1116,135052,2,2,2
349,U1116,135025,2,2,2
350,U1116,135059,0,2,2
351,U1116,135027,0,2,2
352,U1116,132825,2,2,2
353,U1116,135030,1,2,2
354,U1116,132834,2,2,2
355,U1105,135057,0,0,0
356,U1105,135069,0,0,0
360,U1105,135054,0,0,0
361,U1105,135039,0,0,0
362,U1105,135052,0,0,0
368,U1007,135057,1,1,2
369,U1075,135032,1,1,1
370,U1075,132834,1,2,1
371,U1075,135057,2,1,1
374,U1075,135039,2,2,0
376,U1075,135041,1,1,0
377,U1115,135057,2,2,2
379,U1115,135054,0,0,1
381,U1115,135069,1,0,1
384,U1115,135071,2,2,2
386,U1024,132834,1,1,1
387,U1024,135106,1,1,1
388,U1024,135042,1,2,1
389,U1024,132825,1,1,0
390,U1024,135060,1,0,2
391,U1024,135032,2,2,2
392,U1024,135039,2,2,2
394,U1024,135027,1,2,0
395,U1024,135073,1,2,0
397,U1024,135041,1,1,1
399,U1024,135028,1,1,1
400,U1024,135030,1,1,1
402,U1132,132825,2,2,2
403,U1132,135085,2,2,2
405,U1132,135025,1,1,2
406,U1132,135052,2,2,2
407,U1132,135028,2,2,2
408,U1132,135032,1,0,1
410,U1132,135027,2,1,0
415,U1005,135041,1,1,1
416,U1005,135057,1,2,1
417,U1005,135043,0,2,0
418,U1005,135042,2,1,2
419,U1005,135032,2,1,2
420,U1120,135085,0,0,0
421,U1120,132845,1,0,2
422,U1120,135032,1,1,1
425,U1004,135060,1,1,1
426,U1004,135028,2,2,2
427,U1004,135106,2,2,2
428,U1120,135057,2,2,2
431,U1004,135032,2,2,2
432,U1120,132846,2,2,1
433,U1077,135027,0,1,1
435,U1037,135054,2,1,1
438,U1037,132845,0,0,0
445,U1052,132851,1,0,2
446,U1036,132834,1,2,2
448,U1036,135079,2,2,2
449,U1036,135042,2,2,2
450,U1036,135085,2,2,2
451,U1036,135025,2,2,2
452,U1036,132825,2,2,2
453,U1036,135059,2,2,2
454,U1036,135052,2,2,2
455,U1036,132754,2,2,2
458,U1038,132854,1,2,2
459,U1038,132856,0,1,1
460,U1038,132858,0,2,1
461,U1038,132861,1,1,2
462,U1038,132862,2,2,2
463,U1071,132862,2,2,2
465,U1071,135052,2,2,2
466,U1071,135060,1,2,2
467,U1071,135042,2,2,2
468,U1071,132825,2,2,2
469,U1071,132856,2,2,2
470,U1071,135032,2,2,2
471,U1071,132834,1,1,1
472,U1071,135039,2,2,2
473,U1071,135028,2,2,2
474,U1071,135025,2,2,2
475,U1071,135030,2,2,2
476,U1114,135053,0,0,0
477,U1084,135058,1,0,2
478,U1084,132862,2,2,2
479,U1084,135072,2,2,2
480,U1084,135030,2,2,2
482,U1084,135035,2,2,2
484,U1084,132861,2,2,2
485,U1084,135085,2,2,2
486,U1084,132723,1,0,1
487,U1049,132825,0,0,0
488,U1049,135041,0,0,0
492,U1019,132856,0,0,0
496,U1069,132858,0,0,0
497,U1069,135069,0,0,0
498,U1069,132846,0,0,0
499,U1069,132845,0,0,0
500,U1069,132851,1,0,0
503,U1113,135057,2,2,1
504,U1113,135085,1,2,1
505,U1113,135032,0,0,0
506,U1113,135079,1,2,1
507,U1113,135046,2,2,1
508,U1113,132856,0,1,0
509,U1113,132854,0,0,0
510,U1104,135039,0,0,1
511,U1104,132825,1,2,1
512,U1104,135085,2,2,1
513,U1104,135030,2,1,1
516,U1106,135052,0,0,0
517,U1104,132834,1,2,1
518,U1106,135106,0,0,0
519,U1106,132754,2,2,1
520,U1104,135052,1,1,1
521,U1106,132856,0,1,0
522,U1104,135032,2,1,1
523,U1104,135025,2,1,1
524,U1106,132834,2,1,1
526,U1106,135042,2,0,0
527,U1106,135039,2,1,1
528,U1052,132866,2,2,1
530,U1106,135085,2,2,2
533,U1106,132862,2,2,2
534,U1106,135030,2,2,1
535,U1106,135079,2,2,2
537,U1052,132869,2,2,1
538,U1052,132870,1,1,1
539,U1104,135041,1,2,1
542,U1079,132768,2,2,2
543,U1079,132766,1,2,1
544,U1045,132825,2,1,1
546,U1045,132856,1,2,2
547,U1045,135085,2,2,2
548,U1045,135032,0,0,0
549,U1045,132834,1,1,1
550,U1045,135052,1,2,2
551,U1045,135060,2,2,2
553,U1045,135041,1,2,1
554,U1009,132754,1,2,1
555,U1009,132862,2,1,2
556,U1009,135060,1,1,1
557,U1009,135059,2,1,1
558,U1009,132834,2,2,1
559,U1009,135058,1,1,2
561,U1009,132825,1,1,0
562,U1009,135052,2,1,0
564,U1009,135079,1,2,2
565,U1016,132834,2,2,2
566,U1016,135042,1,2,2
567,U1016,135032,2,2,2
568,U1016,135106,2,2,2
569,U1016,132856,2,2,2
571,U1016,135060,2,2,2
573,U1016,135085,2,2,0
574,U1016,135052,2,2,2
575,U1016,132862,2,2,2
578,U1047,132875,0,0,0
581,U1095,132872,1,2,2
582,U1095,135034,2,2,2
583,U1095,135058,1,2,2
584,U1034,135086,1,1,1
585,U1095,132861,1,1,1
586,U1034,135049,0,0,0
587,U1034,132723,1,0,1
588,U1095,132723,2,2,2
589,U1095,135086,1,2,1
590,U1095,135055,2,2,2
591,U1007,135058,1,2,1
592,U1007,135085,1,2,0
594,U1095,135035,2,2,2
595,U1095,135072,2,2,2
596,U1007,135025,1,1,1
597,U1007,135032,1,1,0
598,U1007,135086,0,0,0
599,U1007,132572,1,1,1
601,U1078,132885,1,1,1
603,U1099,132834,2,2,2
604,U1008,132866,1,1,1
605,U1008,132858,1,2,1
606,U1099,135043,2,2,2
607,U1099,132885,0,0,0
608,U1008,132854,2,2,1
609,U1099,132872,1,1,2
611,U1008,132851,1,1,1
612,U1099,132856,1,1,0
613,U1008,132869,1,1,1
615,U1008,135069,1,1,1
617,U1099,135060,2,2,2
619,U1008,132846,1,1,1
620,U1008,135054,1,1,1
621,U1099,135042,1,1,1
622,U1040,132773,1,1,1
626,U1121,135021,0,0,0
627,U1110,135021,1,2,1
628,U1110,132767,2,2,2
632,U1121,132767,2,2,2
634,U1042,132768,2,2,1
635,U1042,135021,1,2,0
637,U1013,135079,1,1,1
638,U1013,135072,2,1,1
639,U1013,135085,1,2,0
642,U1054,135060,2,2,2
643,U1054,135039,2,2,1
644,U1054,135052,2,2,1
645,U1054,132856,2,2,2
647,U1054,135025,2,2,2
648,U1054,135041,2,2,2
650,U1054,135032,1,1,1
654,U1111,132845,2,2,1
655,U1111,135071,2,2,2
656,U1111,132858,1,1,1
657,U1111,132854,2,2,2
659,U1037,135071,1,0,0
660,U1111,132851,2,1,0
662,U1111,132869,0,0,0
663,U1037,132869,1,1,2
664,U1111,132870,0,0,0
665,U1037,132851,2,2,1
668,U1037,132854,1,2,0
669,U1015,132845,1,1,1
670,U1015,132866,0,1,1
671,U1015,132870,0,0,1
672,U1015,135054,1,1,1
673,U1015,132869,2,2,2
674,U1015,132851,1,1,1
676,U1128,132872,0,0,0
677,U1062,132872,0,0,0
678,U1101,135039,1,1,1
679,U1101,135027,2,1,1
680,U1101,135073,1,1,1
681,U1101,135106,0,0,0
682,U1101,132856,1,0,1
683,U1101,135032,2,2,1
686,U1101,135052,2,1,1
687,U1101,135041,0,0,0
688,U1001,135085,0,1,1
690,U1001,135039,1,1,1
693,U1001,135025,2,2,2
695,U1135,135085,0,0,0
696,U1135,135106,0,0,0
697,U1135,135052,0,0,0
698,U1135,135041,0,0,0
699,U1032,132872,1,1,1
700,U1032,135058,2,1,0
701,U1032,135079,2,2,0
702,U1032,135085,1,1,1
703,U1032,135042,0,1,0
704,U1032,132856,1,1,0
705,U1135,132825,0,0,0
706,U1135,132834,0,0,0
708,U1032,132834,1,1,0
709,U1032,135060,1,1,1
710,U1135,135058,0,0,0
711,U1032,135032,0,0,0
713,U1135,132856,0,0,0
715,U1135,135028,0,0,0
716,U1135,135032,0,0,0
717,U1135,135042,0,0,0
718,U1135,135060,0,0,0
719,U1048,135049,1,0,2
721,U1048,135034,2,2,1
722,U1048,135048,0,1,0
724,U1048,132755,2,2,2
725,U1048,132723,2,2,2
726,U1062,135085,0,0,0
727,U1062,135053,0,0,0
728,U1092,135071,1,0,0
729,U1062,132825,0,0,0
730,U1092,135085,0,0,0
731,U1062,135052,0,0,0
732,U1092,135046,0,0,0
734,U1092,132572,1,0,0
737,U1092,135025,2,1,1
738,U1062,132834,0,0,0
739,U1092,132723,1,1,1
741,U1013,132875,2,2,1
742,U1085,135043,2,2,2
743,U1085,132885,0,0,0
747,U1109,135028,2,2,2
748,U1109,132856,1,1,1
749,U1085,135042,0,0,0
750,U1085,135059,2,2,1
751,U1109,132825,2,2,2
752,U1085,132872,0,2,2
753,U1085,135055,2,2,2
754,U1109,135032,2,2,2
755,U1085,132825,2,2,2
757,U1109,135042,2,2,2
758,U1109,135058,2,2,2
759,U1109,135085,2,2,2
761,U1109,132872,1,1,1
763,U1078,135060,2,2,2
764,U1078,135106,2,2,2
765,U1078,135041,2,1,2
766,U1078,132834,0,2,1
767,U1078,135052,2,2,2
768,U1019,135079,0,0,0
769,U1102,132846,2,2,2
770,U1098,132885,1,1,0
771,U1098,135060,2,1,2
772,U1098,132856,1,2,1
776,U1122,132872,2,2,2
777,U1122,135058,2,0,2
778,U1122,132834,2,1,1
779,U1122,132754,2,1,2
780,U1122,135079,2,2,2
782,U1122,135085,2,2,1
783,U1122,135030,2,1,1
785,U1122,135053,2,2,2
786,U1138,132921,2,2,1
787,U1138,132922,2,2,2
788,U1138,132925,1,2,1
789,U1013,132921,2,2,1
790,U1098,135085,1,2,1
791,U1098,132825,1,1,1
792,U1098,135079,2,1,1
793,U1098,135032,2,1,1
795,U1098,132861,2,2,1
796,U1098,135046,1,2,1
797,U1098,132862,1,2,2
798,U1098,132921,1,2,1
800,U1034,135055,0,0,0
801,U1034,135035,1,1,1
803,U1033,135028,2,1,1
804,U1033,135085,2,2,2
805,U1033,135046,2,1,1
807,U1033,132951,2,1,0
808,U1033,132572,1,0,0
809,U1033,132921,2,1,1
810,U1033,135075,2,1,0
812,U1033,135030,2,1,1
813,U1089,135058,1,1,1
815,U1089,135028,1,1,1
816,U1089,132951,1,1,1
818,U1089,132921,1,1,1
819,U1003,132825,2,2,1
820,U1089,132754,1,1,1
821,U1003,135075,2,2,2
823,U1003,132862,1,2,2
824,U1089,132872,1,1,1
825,U1089,135085,1,1,1
826,U1003,135041,0,1,1
827,U1089,135072,1,1,1
828,U1089,132834,1,1,1
829,U1003,132937,2,2,1
830,U1089,132875,1,1,1
832,U1003,132922,2,2,2
833,U1091,132825,0,1,1
834,U1091,135075,2,2,2
835,U1089,135079,0,0,0
836,U1003,132723,2,2,1
837,U1091,132861,1,1,1
838,U1003,132755,2,2,1
839,U1091,132875,1,2,2
841,U1091,135086,1,1,1
842,U1003,135079,2,2,2
845,U1027,132921,1,1,1
846,U1091,132572,2,2,2
847,U1027,135052,1,1,1
849,U1091,135035,1,1,1
850,U1027,132937,1,1,1
851,U1027,132951,1,1,1
852,U1027,132925,1,1,1
853,U1027,132872,1,1,1
854,U1027,132875,1,1,1
855,U1027,135085,1,1,1
856,U1027,135042,1,1,1
859,U1029,135059,2,1,1
860,U1029,132937,1,1,1
861,U1029,135085,1,1,1
862,U1029,132834,0,1,0
863,U1029,132754,0,0,0
864,U1029,132825,1,1,0
865,U1029,132921,1,1,1
866,U1029,132862,1,1,1
867,U1029,132922,1,1,1
869,U1086,132921,1,1,1
870,U1086,135085,2,1,1
871,U1086,132922,2,1,2
872,U1086,132937,2,0,1
874,U1086,135041,2,2,2
875,U1086,135060,1,1,1
876,U1086,132951,1,1,1
877,U1019,132921,0,0,0
878,U1019,132834,0,0,0
879,U1137,132951,2,2,2
881,U1019,135086,0,0,0
882,U1137,135085,2,1,2
883,U1137,132834,2,2,2
884,U1090,132572,1,1,2
885,U1137,132862,2,2,2
886,U1137,135058,0,2,2
887,U1137,135059,2,0,2
889,U1137,132825,2,2,1
890,U1137,132723,2,2,2
891,U1137,132755,2,2,2
892,U1137,135042,2,2,2
894,U1137,135049,2,2,2
895,U1137,135075,2,2,2
896,U1114,132825,0,0,0
898,U1114,135058,0,0,0
899,U1114,132723,0,0,0
900,U1114,132951,0,0,0
901,U1114,132872,1,1,1
902,U1114,132834,0,0,0
903,U1114,135072,0,0,0
904,U1114,132754,0,0,0
905,U1114,132755,1,2,1
906,U1061,132825,1,2,1
907,U1061,135048,2,2,2
908,U1061,132921,1,2,1
910,U1061,132723,2,2,1
911,U1061,135075,2,2,2
912,U1061,135034,2,2,2
913,U1061,135041,2,2,2
914,U1013,132572,1,1,0
915,U1013,135075,2,2,1
916,U1061,135046,1,2,1
917,U1061,132572,1,2,2
918,U1061,135058,1,1,1
919,U1046,135044,1,1,0
921,U1046,132921,2,1,2
922,U1046,135085,1,2,1
923,U1046,132572,1,2,0
924,U1046,135058,2,2,1
925,U1046,132951,1,1,2
926,U1046,132861,1,2,2
928,U1041,134983,2,2,2
929,U1041,135021,2,2,2
931,U1041,132768,2,2,1
932,U1041,135109,1,2,1
933,U1004,132954,2,2,2
934,U1004,132955,2,2,2
935,U1004,132958,2,2,2
936,U1003,132754,2,2,2
938,U1059,135075,2,2,1
939,U1059,135028,1,1,1
940,U1061,132834,1,2,1
941,U1061,135086,1,1,2
942,U1061,132754,2,2,2
945,U1090,135052,2,2,2
949,U1090,132862,2,2,2
951,U1112,132954,0,0,1
952,U1057,135043,1,1,1
953,U1112,135079,1,0,0
956,U1090,132954,2,2,2
957,U1112,135048,0,0,0
958,U1057,132954,1,0,0
959,U1112,135086,0,0,0
960,U1061,132955,2,2,2
961,U1112,132921,1,0,0
962,U1061,132958,2,2,2
963,U1112,135046,0,0,0
964,U1090,135085,2,2,2
965,U1112,132572,0,0,1
966,U1090,132922,2,2,2
967,U1025,132866,2,1,2
969,U1112,132834,1,0,0
970,U1057,132825,1,1,0
971,U1112,132862,1,1,1
972,U1061,132954,2,1,2
975,U1057,135046,1,0,0
976,U1090,135025,2,2,2
977,U1090,132925,2,2,2
978,U1057,132862,1,0,0
979,U1057,135075,0,1,1
981,U1057,135030,1,0,1
982,U1025,135071,2,2,2
983,U1057,132834,1,0,1
984,U1025,132958,1,0,0
985,U1025,132825,0,0,0
986,U1025,135028,2,1,0
988,U1025,132846,2,2,2
991,U1097,135079,2,1,0
992,U1097,135058,2,1,1
993,U1097,132954,1,1,0
994,U1097,132958,2,1,1
996,U1059,132955,2,1,2
997,U1059,135044,2,1,1
998,U1059,132862,0,0,0
999,U1059,135085,2,2,2
1000,U1059,135030,2,2,2
1001,U1128,135053,0,0,0
1002,U1059,132825,2,1,1
1003,U1059,132754,2,2,2
1004,U1128,135058,0,0,0
1005,U1128,132875,0,0,0
1006,U1128,135079,0,0,0
1007,U1128,132925,0,0,0
1009,U1128,132921,0,0,0
1010,U1128,135060,0,0,0
1011,U1128,132954,0,0,0
1012,U1128,132951,0,0,0
1013,U1097,132921,2,2,1
1014,U1097,132955,2,2,1
1016,U1097,135049,2,1,1
1017,U1097,135034,2,2,1
1018,U1006,132954,1,1,1
1019,U1006,135079,1,1,1
1020,U1006,132875,2,2,2
1022,U1006,132922,2,1,2
1023,U1006,132572,1,0,1
1024,U1006,135075,1,1,2
1025,U1006,132825,1,1,1
1026,U1006,135048,1,1,2
1027,U1006,135030,1,1,2
1029,U1131,135054,2,1,2
1030,U1131,132869,1,2,1
1031,U1131,132866,2,2,2
1033,U1131,132851,2,2,2
1034,U1131,132870,0,2,0
1036,U1073,132572,0,0,0
1039,U1073,132951,0,0,0
1040,U1073,132954,0,0,0
1041,U1073,135052,0,0,0
1042,U1073,132834,0,0,0
1043,U1073,135060,0,0,0
1045,U1073,132862,0,0,0
1046,U1049,132921,0,0,0
1047,U1049,135042,0,0,0
1048,U1049,135032,0,0,0
1050,U1049,135085,0,0,0
1051,U1049,132862,0,0,0
1052,U1049,135052,0,0,0
1054,U1058,135043,1,2,2
1055,U1058,135058,2,2,0
1056,U1058,135053,2,1,1
1057,U1058,132885,1,1,1
1059,U1058,132872,2,2,1
1061,U1002,132921,2,1,1
1063,U1002,135106,1,1,1
1064,U1002,132825,2,2,0
1065,U1002,135052,1,1,1
1066,U1002,132862,2,2,2
1067,U1096,132875,2,2,2
1068,U1002,135059,1,2,1
1069,U1002,135041,2,1,0
1070,U1002,132925,1,1,2
1071,U1002,135085,1,1,1
1072,U1096,135025,2,2,2
1073,U1096,135072,1,2,1
1075,U1096,135086,1,0,2
1076,U1096,135055,2,2,2
1077,U1136,135074,1,1,2
1079,U1136,132862,2,2,2
1080,U1096,132955,2,2,2
1081,U1136,132921,2,2,2
1082,U1136,135072,1,1,1
1083,U1096,132723,1,2,1
1084,U1136,135055,2,2,2
1086,U1096,132958,1,2,2
1087,U1096,135075,1,2,1
1088,U1136,132958,2,2,2
1089,U1136,135048,1,2,2
1090,U1136,135046,2,2,2
1091,U1136,135028,2,2,2
1092,U1097,135086,2,0,1
1093,U1097,135053,2,2,2
1094,U1097,132861,2,2,1
1096,U1058,135055,2,2,2
1097,U1010,135053,1,1,1
1098,U1010,135058,1,0,0
1099,U1010,135079,0,0,0
1100,U1003,135059,2,2,2
1104,U1102,132854,2,2,2
1105,U1102,132858,2,2,0
1106,U1010,135042,2,2,2
1107,U1102,132870,2,2,0
1110,U1013,132951,2,2,2
1111,U1013,135060,1,1,0
1112,U1028,132732,1,1,1
1113,U1028,132733,1,1,1
1114,U1028,135104,0,1,0
1115,U1050,132732,0,1,1
1116,U1050,132609,0,0,0
1117,U1050,132608,0,0,0
1118,U1050,132560,0,2,0
1119,U1050,132740,0,2,0
1120,U1050,132594,0,2,0
1121,U1050,132584,0,0,0
1122,U1028,132740,1,1,1
1123,U1129,132706,0,0,1
1127,U1028,132613,2,2,2
1128,U1087,132667,2,2,1
1129,U1087,135104,1,2,1
1131,U1087,132732,2,2,1
1132,U1087,132740,1,2,1
1133,U1087,132560,1,2,1
1134,U1087,132594,1,2,1
1136,U1065,132626,1,0,1
1137,U1065,132706,2,1,2
1142,U1039,132626,2,2,1
1148,U1130,132626,0,0,0
1149,U1130,132706,1,2,1
1150,U1043,132608,1,1,1
1151,U1043,132609,1,2,1
1152,U1011,132717,2,2,1
1153,U1043,132613,1,1,1
1155,U1043,132732,1,1,1
1157,U1011,132715,1,1,0
1158,U1068,132733,1,1,0
1159,U1068,132594,1,1,1
