index,placeID,Rcuisine
574,132477,Chinese
575,132474,International
576,132474,Regional
577,132470,German
578,132469,German
579,132468,German
580,132464,German
581,132459,Dutch-Belgian
582,132458,Ethiopian
583,132457,Juice
584,132456,Juice
585,132455,Juice
586,132454,Juice
587,132453,Juice
588,132452,Juice
589,132451,Italian
590,132450,Dutch-Belgian
591,132449,Cafe-Coffee_Shop
592,132449,Dutch-Belgian
593,132448,Dutch-Belgian
594,132447,International
595,132446,French
596,132445,Cafe-Coffee_Shop
597,132444,Dutch-Belgian
598,132443,French
599,132443,International
600,132442,French
601,132442,International
602,132441,Dutch-Belgian
603,132440,Dutch-Belgian
604,132439,French
605,132439,Dutch-Belgian
606,132438,Mediterranean
607,132437,Mediterranean
608,132436,International
609,132435,Dutch-Belgian
610,132434,Dutch-Belgian
611,132433,Dutch-Belgian
612,132432,Cafe-Coffee_Shop
613,132430,Italian
614,132429,Dutch-Belgian
615,132425,Fast_Food
616,132421,Italian
617,132419,Italian
618,132419,Mediterranean
619,132417,Italian
620,132417,Mediterranean
621,132414,Asian
622,132413,American
623,132413,International
624,132410,Bar_Pub_Brewery
625,132409,Seafood
626,132408,Dutch-Belgian
627,132407,Mediterranean
628,132406,Soup
629,132402,French
630,132399,Cafe-Coffee_Shop
631,132398,Dutch-Belgian
632,132396,International
633,132393,Mexican
634,132392,Contemporary
635,132392,Continental-European
636,132389,Greek
637,132387,Greek
638,132386,Greek
639,132384,Greek
640,132381,Pizzeria
641,132380,Pizzeria
642,132377,Greek
643,132372,Greek
644,132367,Greek
645,132366,Greek
646,132365,Greek
647,132364,Greek
648,132363,Greek
649,132362,Greek
650,132361,Greek
651,132360,Greek
652,132359,Greek
653,132358,Greek
654,132357,Greek
655,132356,Greek
656,132355,Greek
657,132354,Greek
658,132353,Greek
659,132352,Greek
660,132351,Greek
661,132350,Greek
662,132349,Greek
663,132348,Greek
664,132347,Greek
665,132346,Greek
666,132345,Greek
667,132344,Greek
668,132343,Greek
669,132342,Italian
670,132341,Japanese
671,132341,Sushi
672,132339,American
673,132337,Cafe-Coffee_Shop
674,132336,American
675,132335,Bar_Pub_Brewery
676,132333,Japanese
677,132333,Sushi
678,132332,International
679,132331,International
680,132330,International
681,132329,Pizzeria
682,132329,Deli-Sandwiches
683,132328,Pizzeria
684,132328,Deli-Sandwiches
685,132326,Pizzeria
686,132324,International
687,132321,International
688,132319,French
689,132319,Dutch-Belgian
690,132318,Mediterranean
691,132318,Cafe-Coffee_Shop
692,132317,French
693,132317,Dutch-Belgian
694,132316,Dutch-Belgian
695,132315,Continental-European
696,132312,Chinese
697,132312,Vietnamese
698,132310,Southwestern
699,132306,Breakfast-Brunch
700,132302,American
701,132302,Polish
702,132300,Pizzeria
703,132299,Dutch-Belgian
704,132298,International
705,132297,French
706,132296,Barbecue
707,132296,French
708,132296,Dutch-Belgian
709,132295,Dutch-Belgian
710,132294,Southern
711,132292,Cafe-Coffee_Shop
712,132289,Contemporary
713,132289,French
714,132284,Pizzeria
715,132284,Italian
716,132283,Cafe-Coffee_Shop
717,132281,Bar_Pub_Brewery
718,132280,American
719,132275,Latin_American
720,132274,Mexican
721,132273,Spanish
722,132273,Latin_American
723,132272,Contemporary
724,132271,Bar_Pub_Brewery
725,132270,Bar_Pub_Brewery
726,132269,Chinese
727,132268,Chinese
728,132266,Chinese
729,132265,Asian
730,132262,Chinese
731,132258,Cafeteria
732,132258,Polish
733,132258,Seafood
734,132257,Bar_Pub_Brewery
735,132255,Game
736,132255,Bar_Pub_Brewery
737,132253,Cafeteria
738,132253,Polish
739,132253,Fast_Food
740,132250,Eastern_European
741,132249,International
742,132247,Pizzeria
743,132246,Italian
744,132246,Mediterranean
745,132245,German
746,132244,French
747,132244,German
748,132244,Italian
749,132243,French
750,132243,Italian
751,132242,Greek
752,132240,American
753,132240,Bar_Pub_Brewery
754,132239,Burgers
755,132238,Japanese
756,132238,Sushi
757,132237,Japanese
758,132237,Seafood
759,132237,Sushi
760,132235,American
761,132235,Burgers
762,132234,Italian
763,132233,Italian
764,132232,Italian
765,132231,Italian
766,132230,Italian
767,132229,Italian
768,132228,California
769,132228,Italian
770,132226,American
771,132226,Seafood
772,132225,Chinese
773,132223,Bakery
774,132223,Cafe-Coffee_Shop
775,132223,Deli-Sandwiches
776,132221,American
777,132220,French
778,132218,Dutch-Belgian
779,132217,Pizzeria
780,132217,Italian
781,132216,Pizzeria
782,132216,Italian
783,132215,Dutch-Belgian
784,132214,American
785,132214,Bar_Pub_Brewery
786,132213,Cafe-Coffee_Shop
787,132212,French
788,132211,French
789,132210,Chinese
790,132209,Chinese
791,132208,Dutch-Belgian
792,132207,International
793,132207,Italian
794,132206,International
795,132204,International
796,132203,Dutch-Belgian
797,132201,French
798,132192,Dutch-Belgian
799,132191,Polish
800,132187,Cafe-Coffee_Shop
801,132187,Bar_Pub_Brewery
802,132186,Pizzeria
803,132186,Italian
804,132184,Italian
805,132184,Mediterranean
806,132182,Italian
807,132182,Continental-European
808,132180,Italian
809,132177,Bagels
810,132177,Cafe-Coffee_Shop
811,132177,Deli-Sandwiches
812,132175,Chinese
813,132174,Chinese
814,132171,Asian
815,132171,Chinese
816,132167,Bar_Pub_Brewery
817,132166,French
818,132166,International
819,132166,Dutch-Belgian
820,132165,International
821,132164,International
822,132163,Cafe-Coffee_Shop
823,132162,International
824,132161,French
825,132161,International
826,132160,Dutch-Belgian
827,132159,French
828,132157,Greek
829,132156,Dutch-Belgian
830,132155,French
831,132155,Mediterranean
832,132147,Pizzeria
833,132147,Deli-Sandwiches
834,132146,Deli-Sandwiches
835,132145,Deli-Sandwiches
836,132138,Bakery
837,132137,Pizzeria
838,132137,Deli-Sandwiches
839,132136,Pizzeria
840,132133,Japanese
841,132132,Pizzeria
842,132131,Italian
843,132130,Turkish
844,132128,Vegetarian
845,132128,Fast_Food
846,132127,Eastern_European
847,132126,Family
848,132126,Mexican
849,132125,Family
850,132125,Mexican
851,132121,Italian
852,132120,Asian
853,132119,Vegetarian
854,132118,Vegetarian
855,132116,Asian
856,132115,Asian
857,132114,Cafe-Coffee_Shop
858,132109,Vegetarian
859,132109,Organic-Healthy
860,132108,Japanese
861,132108,Steaks
862,132108,Sushi
863,132107,Japanese
864,132106,Vegetarian
865,132105,French
866,132103,Italian
867,132102,Cafe-Coffee_Shop
868,132101,American
869,132101,Bar_Pub_Brewery
870,132100,American
871,132100,Bar_Pub_Brewery
872,132098,Dutch-Belgian
873,132097,Cafe-Coffee_Shop
874,132096,Dutch-Belgian
875,132094,Pizzeria
876,132092,Family
877,132087,Cafe-Coffee_Shop
878,132083,International
879,132031,Family
880,132031,German
881,132031,Fine_Dining
882,132030,French
883,132030,Dutch-Belgian
884,132028,Italian
885,132028,Seafood
886,132026,Dutch-Belgian
887,132025,Dutch-Belgian
888,132024,Seafood
889,132024,Continental-European
890,132023,French
891,132023,Dutch-Belgian
892,132022,Dutch-Belgian
893,132021,Dutch-Belgian
894,132020,International
895,132019,Dutch-Belgian
896,132018,Dutch-Belgian
897,132017,Dutch-Belgian
898,132016,International
899,132015,Dutch-Belgian
900,132014,Dutch-Belgian
901,132013,International
902,132012,French
903,132012,Dutch-Belgian
904,132010,Mediterranean
905,132010,Dutch-Belgian
906,132009,International
907,132008,International
908,132007,Mediterranean
909,132006,Dutch-Belgian
910,132005,French
911,132005,Seafood
912,132004,Seafood
913,132003,International
914,132002,Seafood
915,132001,Dutch-Belgian
