index,placeID,hours,days
57,135090,07:00-00:00;,Mon;Tue;Wed;Thu;Fri;
58,135090,07:00-00:00;,Sat;
59,135090,07:00-00:00;,Sun;
60,135089,13:00-20:00;,Mon;Tue;Wed;Thu;Fri;
61,135089,13:00-20:00;,Sat;
62,135089,13:00-20:00;,Sun;
63,135088,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
64,135088,00:00-00:00;,Sat;
65,135088,00:00-00:00;,Sun;
66,135086,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
67,135086,08:00-23:00;,Sat;
68,135086,08:00-23:00;,Sun;
69,135085,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
70,135085,00:00-00:00;,Sat;
71,135085,00:00-00:00;,Sun;
72,135084,11:00-23:00;,Mon;Tue;Wed;Thu;Fri;
73,135084,11:00-23:00;,Sat;
74,135084,11:00-23:00;,Sun;
75,135082,10:00-18:00;,Mon;Tue;Wed;Thu;Fri;
76,135082,10:00-18:00;,Sat;
77,135082,10:00-18:00;,Sun;
78,135081,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
79,135081,14:00-23:30;,Sat;
80,135081,14:00-23:30;,Sun;
81,135080,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
82,135080,14:00-23:30;,Sat;
83,135080,14:00-23:30;,Sun;
84,135079,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
85,135079,13:30-22:30;,Sat;
86,135079,13:30-22:30;,Sun;
87,135078,14:00-20:00;,Mon;Tue;Wed;Thu;Fri;
88,135078,14:00-20:00;,Sat;
89,135078,14:00-20:00;,Sun;
90,135077,06:00-18:00;,Mon;Tue;Wed;Thu;Fri;
91,135077,00:00-00:00;,Sat;
92,135077,00:00-23:30;,Sun;
93,135076,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
94,135076,12:00-23:30;,Sat;
95,135076,12:00-23:30;,Sun;
96,135075,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
97,135075,00:00-23:30;,Sat;
98,135075,00:00-23:30;,Sun;
99,135074,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
100,135074,07:00-23:30;,Sat;
101,135074,07:00-23:30;,Sun;
102,135073,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
103,135073,09:30-23:30;,Sat;
104,135073,00:00-00:00;,Sun;
105,135072,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
106,135072,13:00-23:30;,Sat;
107,135072,13:00-22:00;,Sun;
108,135071,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
109,135071,13:00-23:30;,Sat;
110,135071,13:00-20:00;,Sun;
111,135070,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
112,135070,07:00-23:00;,Sat;
113,135070,07:00-23:00;,Sun;
114,135069,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;
115,135069,09:00-23:30;,Sat;
116,135069,09:00-23:30;,Sun;
117,135068,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
118,135068,12:00-23:30;,Sat;
119,135068,00:00-00:00;,Sun;
120,135067,12:00-23:00;,Mon;Tue;Wed;Thu;Fri;
121,135067,12:00-23:00;,Sat;
122,135067,12:00-23:00;,Sun;
123,135066,07:00-23:00;,Sat;
124,135066,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
125,135066,07:00-23:00;,Sun;
126,135065,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
127,135065,14:00-23:30;,Sat;
128,135065,14:00-18:00;,Sun;
129,135064,07:00-22:30;,Mon;Tue;Wed;Thu;Fri;
130,135064,07:00-22:30;,Sat;
131,135064,07:00-22:30;,Sun;
132,135063,08:30-19:30;,Mon;Tue;Wed;Thu;Fri;
133,135063,08:30-19:30;,Sat;
134,135063,09:00-15:00;,Sun;
135,135062,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
136,135062,00:00-23:30;,Sat;
137,135062,00:00-23:30;,Sun;
138,135061,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
139,135061,07:00-23:00;,Sat;
140,135061,07:00-23:00;,Sun;
141,135060,11:30-19:00;,Mon;Tue;Wed;Thu;Fri;
142,135060,11:30-19:00;,Sat;
143,135060,11:30-19:00;,Sun;
144,135059,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
145,135059,12:00-23:30;,Sat;
146,135059,12:00-23:30;,Sun;
147,135058,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
148,135058,13:00-23:00;,Sat;
149,135058,13:00-23:00;,Sun;
150,135057,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
151,135057,13:00-23:00;,Sat;
152,135057,13:00-23:00;,Sun;
153,135056,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
154,135056,00:00-00:00;,Sat;
155,135056,00:00-00:00;,Sun;
156,135055,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;
157,135055,14:00-22:00;,Sat;
158,135055,14:00-20:30;,Sun;
159,135054,07:00-19:00;,Mon;Tue;Wed;Thu;Fri;
160,135054,07:00-19:00;,Sat;
161,135054,07:00-19:00;,Sun;
162,135053,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;
163,135053,11:00-22:00;,Sat;
164,135053,11:00-22:00;,Sun;
165,135052,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
166,135052,08:00-23:30;,Sat;
167,135052,08:00-23:30;,Sun;
168,135051,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
169,135051,08:00-23:30;,Sat;
170,135051,00:00-00:00;,Sun;
171,135050,12:00-19:30;,Mon;Tue;Wed;Thu;Fri;
172,135050,12:00-19:30;,Sat;
173,135050,12:00-19:30;,Sun;
174,135049,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
175,135049,12:00-20:00;,Sat;
176,135049,12:00-20:00;,Sun;
177,135048,11:00-22:30;,Mon;Tue;Wed;Thu;Fri;
178,135048,11:00-22:30;,Sat;
179,135048,11:00-22:30;,Sun;
180,135047,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
181,135047,08:00-23:30;,Sat;
182,135047,08:00-22:00;,Sun;
183,135046,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;
184,135046,08:30-21:00;,Sat;
185,135046,08:30-21:00;,Sun;
186,135045,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
187,135045,13:00-23:30;,Sat;
188,135045,13:00-19:00;,Sun;
189,135044,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
190,135044,13:00-22:30;,Sat;
191,135044,13:00-22:30;,Sun;
192,135043,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
193,135043,00:00-00:00;,Sat;
194,135043,00:00-00:00;,Sun;
195,135042,11:00-21:30;,Mon;Tue;Wed;Thu;Fri;
196,135042,11:00-21:30;,Sat;
197,135042,11:00-21:30;,Sun;
198,135041,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
199,135041,00:00-00:00;,Sat;
200,135041,00:00-00:00;,Sun;
201,135040,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
202,135040,08:00-23:30;,Sat;
203,135040,08:00-23:30;,Sun;
204,135039,10:00-20:00;,Mon;Tue;Wed;Thu;Fri;
205,135039,10:00-20:00;,Sat;
206,135039,10:00-20:00;,Sun;
207,135038,08:00-17:00;,Mon;Tue;Wed;Thu;Fri;
208,135038,08:00-17:00;,Sat;
209,135038,00:00-00:00;,Sun;
210,135037,13:30-22:00;,Mon;Tue;Wed;Thu;Fri;
211,135037,13:30-22:00;,Sat;
212,135037,13:30-22:00;,Sun;
213,135036,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
214,135036,12:00-23:30;,Sat;
215,135036,12:00-23:30;,Sun;
216,135035,13:30-23:30;,Mon;Tue;Wed;Thu;Fri;
217,135035,13:30-23:30;,Sat;
218,135035,13:30-18:30;,Sun;
219,135034,13:30-23:00;,Mon;Tue;Wed;Thu;Fri;
220,135034,13:30-23:00;,Sat;
221,135034,13:30-19:00;,Sun;
222,135033,09:00-21:00;,Mon;Tue;Wed;Thu;Fri;
223,135033,09:00-21:00;,Sat;
224,135033,09:00-21:00;,Sun;
225,135032,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
226,135032,07:00-23:30;,Sat;
227,135032,07:00-23:30;,Sun;
228,135031,07:00-19:00;,Mon;Tue;Wed;Thu;Fri;
229,135031,07:00-19:00;,Sat;
230,135031,07:00-19:00;,Sun;
231,135030,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
232,135030,00:00-00:00;,Sat;
233,135030,00:00-00:00;,Sun;
234,135029,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
235,135029,13:00-22:00;,Sat;
236,135029,13:00-22:00;,Sun;
237,135028,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
238,135028,13:00-23:30;,Sat;
239,135028,13:00-19:00;,Sun;
240,135027,08:00-22:00;,Mon;Tue;Wed;Thu;Fri;
241,135027,08:00-23:00;,Sat;
242,135027,08:00-19:00;,Sun;
243,135026,13:30-23:30;,Mon;Tue;Wed;Thu;Fri;
244,135026,13:30-23:30;,Sat;
245,135026,00:00-00:00;,Sun;
246,135025,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
247,135025,14:00-23:30;,Sat;
248,135025,00:00-00:00;,Sun;
249,135024,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
250,135024,00:00-00:00;,Sat;
251,135024,00:00-00:00;,Sun;
252,135023,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
253,135023,00:00-00:00;,Sat;
254,135023,00:00-00:00;,Sun;
255,135022,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
256,135022,00:00-00:00;,Sat;
257,135022,00:00-00:00;,Sun;
258,135021,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
259,135021,00:00-23:30;,Sat;
260,135021,00:00-23:30;,Sun;
261,135020,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
262,135020,08:00-21:00;,Sat;
263,135020,08:00-21:00;,Sun;
264,135019,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
265,135019,00:00-00:00;,Sat;
266,135019,00:00-00:00;,Sun;
267,135018,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
268,135018,00:00-00:00;,Sat;
269,135018,00:00-00:00;,Sun;
270,135017,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
271,135017,00:00-00:00;,Sat;
272,135017,00:00-00:00;,Sun;
273,135016,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
274,135016,00:00-00:00;,Sat;
275,135016,00:00-00:00;,Sun;
276,135015,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
277,135015,00:00-00:00;,Sat;
278,135015,00:00-00:00;,Sun;
279,135014,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
280,135014,00:00-00:00;,Sat;
281,135014,00:00-00:00;,Sun;
282,135013,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
283,135013,00:00-00:00;,Sat;
284,135013,00:00-00:00;,Sun;
285,135012,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
286,135012,00:00-00:00;,Sat;
287,135012,00:00-00:00;,Sun;
288,135011,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
289,135011,00:00-00:00;,Sat;
290,135011,00:00-00:00;,Sun;
291,135010,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
292,135010,00:00-00:00;,Sat;
293,135010,00:00-00:00;,Sun;
294,135009,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
295,135009,00:00-00:00;,Sat;
296,135009,00:00-00:00;,Sun;
297,135008,07:30-23:30;,Mon;Tue;Wed;Thu;Fri;
298,135008,07:30-23:30;,Sat;
299,135008,07:30-23:30;,Sun;
300,135007,13:00-18:00;,Mon;Tue;Wed;Thu;Fri;
301,135007,13:00-23:00;,Sat;
302,135007,13:00-19:00;,Sun;
303,135006,12:30-20:30;,Mon;Tue;Wed;Thu;Fri;
304,135006,12:30-20:30;,Sat;
305,135006,12:30-19:00;,Sun;
306,135005,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;
307,135005,08:30-21:00;,Sat;
308,135005,08:30-21:00;,Sun;
309,135004,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
310,135004,12:00-23:30;,Sat;
311,135004,12:00-23:30;,Sun;
312,135003,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
313,135003,12:00-20:00;,Sat;
314,135003,12:00-20:00;,Sun;
315,135002,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
316,135002,12:00-20:00;,Sat;
317,135002,11:30-20:00;,Sun;
318,135001,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
319,135001,07:00-23:30;,Sat;
320,135001,07:00-23:30;,Sun;
321,135000,07:30-18:00;,Mon;Tue;Wed;Thu;Fri;
322,135000,07:30-18:00;,Sat;
323,135000,07:30-18:00;,Sun;
324,134999,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
325,134999,11:00-21:00;,Sat;
326,134999,11:00-21:00;,Sun;
327,134998,12:00-18:00;,Mon;Tue;Wed;Thu;Fri;
328,134998,12:00-18:00;,Sat;
329,134998,12:00-18:00;,Sun;
330,134997,11:00-21:30;,Mon;Tue;Wed;Thu;Fri;
331,134997,11:00-21:30;,Sat;
332,134997,11:00-21:30;,Sun;
333,134996,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
334,134996,07:00-23:00;,Sat;
335,134996,07:00-23:00;,Sun;
336,134995,08:00-18:00;,Mon;Tue;Wed;Thu;Fri;
337,134995,09:00-15:00;,Sat;
338,134995,00:00-00:00;,Sun;
339,134994,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
340,134994,07:00-23:00;,Sat;
341,134994,07:00-23:00;,Sun;
342,134993,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
343,134993,12:00-23:30;,Sat;
344,134993,12:00-22:00;,Sun;
345,134992,08:00-21:30;,Mon;Tue;Wed;Thu;Fri;
346,134992,08:00-21:30;,Sat;
347,134992,00:00-00:00;,Sun;
348,134991,07:30-23:30;,Mon;Tue;Wed;Thu;Fri;
349,134991,07:30-23:30;,Sat;
350,134991,08:00-18:00;,Sun;
351,134990,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
352,134990,12:00-23:30;,Sat;
353,134990,14:00-23:30;,Sun;
354,134989,13:30-22:00;,Mon;Tue;Wed;Thu;Fri;
355,134989,13:30-23:30;,Sat;
356,134989,13:30-20:00;,Sun;
357,134988,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
358,134988,00:00-23:30;,Sat;
359,134988,00:00-23:30;,Sun;
360,134987,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
361,134987,12:00-23:30;,Sat;
362,134987,12:00-22:00;,Sun;
363,134986,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
364,134986,00:00-23:30;,Sat;
365,134986,00:00-23:30;,Sun;
366,134985,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
367,134985,09:30-23:30;,Sat;
368,134985,09:30-23:30;,Sun;
369,134984,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
370,134984,14:00-23:30;,Sat;
371,134984,14:00-21:00;,Sun;
372,134983,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
373,134983,13:00-23:30;,Sat;
374,134983,13:00-19:00;,Sun;
375,134982,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
376,134982,14:00-23:30;,Sat;
377,134982,14:00-23:30;,Sun;
378,134981,11:00-20:00;,Mon;Tue;Wed;Thu;Fri;
379,134981,11:00-20:00;,Sat;
380,134981,11:00-20:00;,Sun;
381,134980,11:00-18:00;,Mon;Tue;Wed;Thu;Fri;
382,134980,11:00-18:00;,Sat;
383,134980,11:00-18:00;,Sun;
384,134979,11:00-20:00;,Mon;Tue;Wed;Thu;Fri;
385,134979,11:00-20:00;,Sat;
386,134979,11:00-20:00;,Sun;
387,134978,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;
388,134978,14:00-22:00;,Sat;
389,134978,14:00-18:00;,Sun;
390,134977,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
391,134977,13:00-22:00;,Sat;
392,134977,13:00-22:00;,Sun;
393,134975,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
394,134975,08:00-23:30;,Sat;
395,134975,08:00-20:00;,Sun;
396,134974,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
397,134974,13:00-22:00;,Sat;
398,134974,13:00-22:00;,Sun;
399,134973,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
400,134973,08:00-21:00;,Sat;
401,134973,09:00-17:00;,Sun;
402,134972,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
403,134972,07:00-23:00;,Sat;
404,134972,07:00-23:00;,Sun;
405,134971,14:00-23:00;,Mon;Tue;Wed;Thu;Fri;
406,134971,14:00-23:00;,Sat;
407,134971,14:00-23:00;,Sun;
408,134970,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
409,134970,08:00-23:00;,Sat;
410,134970,08:00-23:00;,Sun;
411,133049,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
412,133049,10:00-15:00;,Sat;
413,133049,10:00-16:00;,Sun;
414,133048,09:00-17:00;,Mon;Tue;Wed;Thu;Fri;
415,133048,09:00-17:00;,Sat;
416,133048,10:00-03:30;,Sun;
417,133047,06:00-23:30;,Mon;Tue;Wed;Thu;Fri;
418,133047,02:00-23:30;,Sat;
419,133047,04:00-23:30;,Sun;
420,133043,07:00-22:00;,Mon;Tue;Wed;Thu;Fri;
421,133043,07:00-22:00;,Sat;
422,133043,07:00-22:00;,Sun;
423,133042,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
424,133042,00:00-23:30;,Sat;
425,133042,00:00-23:30;,Sun;
426,133041,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
427,133041,00:00-23:30;,Sat;
428,133041,00:00-23:30;,Sun;
429,133040,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
430,133040,00:00-23:30;,Sat;
431,133040,00:00-23:30;,Sun;
432,133039,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
433,133039,11:00-23:30;,Sat;
434,133039,11:00-23:30;,Sun;
435,133038,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;
436,133038,10:30-23:30;,Sat;
437,133038,10:30-23:30;,Sun;
438,133037,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
439,133037,00:00-23:30;,Sat;
440,133037,00:00-23:30;,Sun;
441,133036,10:30-23:30;,Mon;Tue;Wed;Thu;Fri;
442,133036,10:30-23:30;,Sat;
443,133036,10:30-23:30;,Sun;
444,133035,12:00-17:00;,Mon;Tue;Wed;Thu;Fri;
445,133035,12:00-17:00;,Sat;
446,133035,12:00-19:00;,Sun;
447,133034,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
448,133034,00:00-23:30;,Sat;
449,133034,00:00-23:30;,Sun;
450,133033,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
451,133033,11:00-23:30;,Sat;
452,133033,11:00-23:30;,Sun;
453,133032,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
454,133032,00:00-23:30;,Sat;
455,133032,00:00-23:30;,Sun;
456,133031,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
457,133031,00:00-23:30;,Sat;
458,133031,00:00-23:30;,Sun;
459,133030,09:00-22:00;,Mon;Tue;Wed;Thu;Fri;
460,133030,09:00-23:30;,Sat;
461,133030,09:00-20:00;,Sun;
462,133029,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
463,133029,13:00-23:30;,Sat;
464,133029,15:00-23:30;,Sun;
465,133028,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
466,133028,00:00-23:30;,Sat;
467,133028,00:00-23:30;,Sun;
468,133027,10:00-21:30;,Mon;Tue;Wed;Thu;Fri;
469,133027,10:00-23:00;,Sat;
470,133027,10:00-23:00;,Sun;
471,133026,14:30-20:00;,Mon;Tue;Wed;Thu;Fri;
472,133026,14:00-20:30;,Sat;
473,133026,14:00-20:30;,Sun;
474,133025,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
475,133025,00:00-23:30;,Sat;
476,133025,00:00-23:30;,Sun;
477,133024,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
478,133024,00:00-23:30;,Sat;
479,133024,00:00-23:30;,Sun;
480,133023,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
481,133023,00:00-23:30;,Sat;
482,133023,00:00-23:30;,Sun;
483,133022,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
484,133022,00:00-23:30;,Sat;
485,133022,00:00-23:30;,Sun;
486,133021,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
487,133021,00:00-23:30;,Sat;
488,133021,00:00-23:30;,Sun;
489,133020,18:30-23:30;,Mon;Tue;Wed;Thu;Fri;
490,133020,17:00-23:30;,Sat;
491,133020,17:00-23:30;,Sun;
492,133019,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
493,133019,00:00-23:30;,Sat;
494,133019,00:00-23:30;,Sun;
495,133018,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
496,133018,00:00-23:30;,Sat;
497,133018,00:00-23:30;,Sun;
498,133017,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
499,133017,00:00-23:30;,Sat;
500,133017,00:00-23:30;,Sun;
501,133016,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
502,133016,00:00-23:30;,Sat;
503,133016,00:00-23:30;,Sun;
504,133015,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
505,133015,00:00-23:30;,Sat;
506,133015,00:00-23:30;,Sun;
507,133014,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
508,133014,00:00-23:30;,Sat;
509,133014,00:00-23:30;,Sun;
510,133013,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
511,133013,00:00-23:30;,Sat;
512,133013,00:00-23:30;,Sun;
513,133012,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
514,133012,00:00-23:30;,Sat;
515,133012,00:00-23:30;,Sun;
516,133011,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
517,133011,00:00-23:30;,Sat;
518,133011,00:00-23:30;,Sun;
519,133010,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
520,133010,00:00-23:30;,Sat;
521,133010,00:00-23:30;,Sun;
522,133009,10:00-18:00;,Mon;Tue;Wed;Thu;Fri;
523,133009,10:00-20:30;,Sat;
524,133009,10:00-15:30;,Sun;
525,133008,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
526,133008,15:00-23:30;,Sat;
527,133008,00:00-00:00;,Sun;
528,133007,11:00-19:30;,Mon;Tue;Wed;Thu;Fri;
529,133007,12:30-21:30;,Sat;
530,133007,13:30-20:30;,Sun;
531,133006,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
532,133006,00:00-23:30;,Sat;
533,133006,00:00-23:30;,Sun;
534,133005,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
535,133005,00:00-23:30;,Sat;
536,133005,00:00-23:30;,Sun;
537,133004,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
538,133004,00:00-23:30;,Sat;
539,133004,00:00-23:30;,Sun;
540,133003,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
541,133003,00:00-23:30;,Sat;
542,133003,00:00-23:30;,Sun;
543,133002,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
544,133002,00:00-23:30;,Sat;
545,133002,00:00-23:30;,Sun;
546,133001,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
547,133001,00:00-23:30;,Sat;
548,133001,00:00-23:30;,Sun;
549,133000,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
550,133000,00:00-23:30;,Sat;
551,133000,00:00-23:30;,Sun;
552,132999,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
553,132999,00:00-23:30;,Sat;
554,132999,00:00-23:30;,Sun;
555,132998,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
556,132998,00:00-23:30;,Sat;
557,132998,00:00-23:30;,Sun;
558,132997,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
559,132997,00:00-23:30;,Sat;
560,132997,00:00-23:30;,Sun;
561,132996,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;
562,132996,08:00-19:00;,Sat;
563,132996,08:00-14:00;,Sun;
564,132995,21:00-23:30;,Mon;Tue;Wed;Thu;Fri;
565,132995,21:00-23:30;,Sat;
566,132995,21:00-23:30;,Sun;
567,132994,21:00-23:30;,Mon;Tue;Wed;Thu;Fri;
568,132994,21:00-23:30;,Sat;
569,132994,21:00-23:30;,Sun;
570,132993,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
571,132993,18:00-23:30;,Sat;
572,132993,18:00-23:30;,Sun;
573,132992,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
