,index,userID,placeID,rating,food_rating,service_rating
92,152,28,37,1,2,2
93,155,29,35,0,0,0
94,156,29,34,2,0,0
95,157,29,30,0,0,0
96,160,30,12,1,2,0
97,161,30,35,2,2,2
98,163,30,33,2,2,1
99,164,31,12,1,1,1
100,165,31,33,1,1,1
101,166,31,35,1,2,1
102,168,32,23,2,2,2
103,169,32,24,2,2,2
104,170,32,26,2,2,2
105,171,32,39,2,2,2
106,172,15,24,2,2,2
107,173,15,40,0,0,0
108,174,32,41,2,2,2
109,175,15,42,1,2,2
110,176,15,25,2,2,2
111,177,15,43,2,2,2
112,178,15,44,1,2,2
113,179,32,45,2,2,2
114,181,32,46,2,2,2
115,182,32,2,2,2,2
116,184,33,27,2,2,1
117,185,33,2,1,2,0
118,187,34,31,1,2,1
119,188,34,37,2,1,2
120,189,33,47,2,1,2
121,190,33,48,2,2,0
122,191,33,46,1,2,1
123,194,33,39,2,1,2
124,196,33,3,2,2,1
125,199,35,47,1,2,1
126,200,36,49,1,0,1
127,201,35,50,1,1,2
128,203,36,51,0,0,1
129,204,35,49,0,0,1
130,205,36,52,0,0,0
131,206,35,3,1,0,1
132,207,35,53,2,0,2
133,208,36,2,1,0,1
134,209,36,27,0,1,1
135,210,36,26,1,2,2
136,211,36,1,1,2,1
137,212,36,53,0,1,1
138,213,36,54,1,1,1
139,214,36,55,0,1,1
140,216,37,2,2,2,1
141,220,38,49,1,0,1
142,222,39,50,1,2,2
143,224,38,50,1,0,2
144,226,39,56,2,2,2
145,227,39,49,1,2,2
146,229,38,51,1,0,0
147,230,38,47,1,1,0
148,231,39,18,0,0,0
149,232,39,57,2,2,2
150,235,39,27,2,2,2
151,245,40,55,2,2,2
152,246,40,1,2,2,2
153,247,40,53,2,2,2
154,248,40,2,2,2,2
155,252,41,44,1,1,1
156,253,41,2,1,2,1
157,254,41,58,2,1,0
158,256,41,22,2,1,1
159,257,41,1,2,1,2
160,258,41,59,1,1,2
161,259,41,60,2,2,2
162,260,41,46,2,1,1
163,261,41,24,0,0,0
164,262,41,23,2,1,1
165,265,41,25,2,2,2
166,266,42,56,1,1,1
167,267,43,49,0,0,0
168,268,42,27,0,0,0
169,269,43,50,2,2,2
170,271,42,26,2,1,0
171,273,43,41,2,2,2
172,274,43,53,2,1,1
173,275,43,56,2,1,1
174,277,43,57,1,2,1
175,280,44,57,1,1,1
176,281,6,35,2,2,2
177,283,44,27,1,1,1
178,284,44,18,1,0,1
179,286,44,49,1,1,1
180,288,44,50,1,1,1
181,289,44,52,1,1,1
182,291,45,51,0,0,0
183,292,46,51,1,1,2
184,298,46,27,1,2,1
185,300,47,34,0,0,0
186,302,46,47,1,1,1
187,305,47,35,2,2,2
188,306,46,3,1,0,2
189,310,45,50,1,1,0
190,312,45,27,1,1,1
191,314,45,39,1,1,1
192,315,45,49,0,1,1
193,317,48,52,2,2,1
194,319,48,55,0,1,1
195,320,48,47,2,2,2
196,322,48,61,2,1,1
197,324,49,39,0,0,0
198,325,49,27,1,1,2
199,326,49,50,2,2,2
200,327,49,3,1,1,2
201,328,49,53,2,2,2
202,333,49,61,2,2,2
203,336,50,57,0,0,0
204,338,50,50,0,1,0
205,339,50,18,0,1,0
206,343,50,49,0,1,0
207,345,51,3,0,0,0
208,347,51,1,2,2,2
209,348,51,53,2,2,2
210,349,51,39,2,2,2
211,350,51,58,0,2,2
212,351,51,55,0,2,2
213,352,51,2,2,2,2
214,353,51,54,1,2,2
215,354,51,62,2,2,2
216,355,52,50,0,0,0
217,356,52,49,0,0,0
218,360,52,57,0,0,0
219,361,52,52,0,0,0
220,362,52,53,0,0,0
221,368,53,50,1,1,2
222,369,54,27,1,1,1
223,370,54,62,1,2,1
224,371,54,50,2,1,1
225,374,54,52,2,2,0
226,376,54,56,1,1,0
227,377,55,50,2,2,2
228,379,55,57,0,0,1
229,381,55,49,1,0,1
230,384,55,18,2,2,2
231,386,56,62,1,1,1
232,387,56,41,1,1,1
233,388,56,47,1,2,1
234,389,56,2,1,1,0
235,390,56,3,1,0,2
236,391,56,27,2,2,2
237,392,56,52,2,2,2
238,394,56,55,1,2,0
239,395,56,61,1,2,0
240,397,56,56,1,1,1
241,399,56,26,1,1,1
242,400,56,54,1,1,1
243,402,57,2,2,2,2
244,403,57,1,2,2,2
245,405,57,39,1,1,2
246,406,57,53,2,2,2
247,407,57,26,2,2,2
248,408,57,27,1,0,1
249,410,57,55,2,1,0
250,415,58,56,1,1,1
251,416,58,50,1,2,1
252,417,58,51,0,2,0
253,418,58,47,2,1,2
254,419,58,27,2,1,2
255,420,59,1,0,0,0
256,421,59,63,1,0,2
257,422,59,27,1,1,1
258,425,60,3,1,1,1
259,426,60,26,2,2,2
260,427,60,41,2,2,2
261,428,59,50,2,2,2
262,431,60,27,2,2,2
263,432,59,64,2,2,1
264,433,1,55,0,1,1
265,435,61,57,2,1,1
266,438,61,63,0,0,0
267,445,62,65,1,0,2
268,446,63,62,1,2,2
269,448,63,59,2,2,2
270,449,63,47,2,2,2
271,450,63,1,2,2,2
272,451,63,39,2,2,2
273,452,63,2,2,2,2
274,453,63,58,2,2,2
275,454,63,53,2,2,2
276,455,63,46,2,2,2
277,458,64,66,1,2,2
278,459,64,67,0,1,1
279,460,64,68,0,2,1
280,461,64,69,1,1,2
281,462,64,70,2,2,2
282,463,65,70,2,2,2
283,465,65,53,2,2,2
284,466,65,3,1,2,2
285,467,65,47,2,2,2
286,468,65,2,2,2,2
287,469,65,67,2,2,2
288,470,65,27,2,2,2
289,471,65,62,1,1,1
290,472,65,52,2,2,2
291,473,65,26,2,2,2
292,474,65,39,2,2,2
293,475,65,54,2,2,2
294,476,66,48,0,0,0
295,477,67,29,1,0,2
296,478,67,70,2,2,2
297,479,67,42,2,2,2
298,480,67,54,2,2,2
299,482,67,71,2,2,2
300,484,67,69,2,2,2
301,485,67,1,2,2,2
302,486,67,21,1,0,1
303,487,68,2,0,0,0
304,488,68,56,0,0,0
305,492,69,67,0,0,0
306,496,70,68,0,0,0
307,497,70,49,0,0,0
308,498,70,64,0,0,0
309,499,70,63,0,0,0
310,500,70,65,1,0,0
311,503,71,50,2,2,1
312,504,71,1,1,2,1
313,505,71,27,0,0,0
314,506,71,59,1,2,1
315,507,71,22,2,2,1
316,508,71,67,0,1,0
317,509,71,66,0,0,0
318,510,72,52,0,0,1
319,511,72,2,1,2,1
320,512,72,1,2,2,1
321,513,72,54,2,1,1
322,516,42,53,0,0,0
323,517,72,62,1,2,1
324,518,42,41,0,0,0
325,519,42,46,2,2,1
326,520,72,53,1,1,1
327,521,42,67,0,1,0
328,522,72,27,2,1,1
329,523,72,39,2,1,1
330,524,42,62,2,1,1
331,526,42,47,2,0,0
332,527,42,52,2,1,1
333,528,62,72,2,2,1
334,530,42,1,2,2,2
335,533,42,70,2,2,2
336,534,42,54,2,2,1
337,535,42,59,2,2,2
338,537,62,73,2,2,1
339,538,62,74,1,1,1
340,539,72,56,1,2,1
341,542,73,35,2,2,2
342,543,73,36,1,2,1
343,544,74,2,2,1,1
344,546,74,67,1,2,2
345,547,74,1,2,2,2
346,548,74,27,0,0,0
347,549,74,62,1,1,1
348,550,74,53,1,2,2
349,551,74,3,2,2,2
350,553,74,56,1,2,1
351,554,75,46,1,2,1
352,555,75,70,2,1,2
353,556,75,3,1,1,1
354,557,75,58,2,1,1
355,558,75,62,2,2,1
356,559,75,29,1,1,2
357,561,75,2,1,1,0
358,562,75,53,2,1,0
359,564,75,59,1,2,2
360,565,76,62,2,2,2
361,566,76,47,1,2,2
362,567,76,27,2,2,2
363,568,76,41,2,2,2
364,569,76,67,2,2,2
365,571,76,3,2,2,2
366,573,76,1,2,2,0
367,574,76,53,2,2,2
368,575,76,70,2,2,2
369,578,77,75,0,0,0
370,581,78,76,1,2,2
371,582,78,20,2,2,2
372,583,78,29,1,2,2
373,584,79,28,1,1,1
374,585,78,69,1,1,1
375,586,79,40,0,0,0
376,587,79,21,1,0,1
377,588,78,21,2,2,2
378,589,78,28,1,2,1
379,590,78,60,2,2,2
380,591,53,29,1,2,1
381,592,53,1,1,2,0
382,594,78,71,2,2,2
383,595,78,42,2,2,2
384,596,53,39,1,1,1
385,597,53,27,1,1,0
386,598,53,28,0,0,0
387,599,53,24,1,1,1
388,601,80,77,1,1,1
389,603,81,62,2,2,2
390,604,82,72,1,1,1
391,605,82,68,1,2,1
392,606,81,51,2,2,2
393,607,81,77,0,0,0
394,608,82,66,2,2,1
395,609,81,76,1,1,2
396,611,82,65,1,1,1
397,612,81,67,1,1,0
398,613,82,73,1,1,1
399,615,82,49,1,1,1
400,617,81,3,2,2,2
401,619,82,64,1,1,1
402,620,82,57,1,1,1
403,621,81,47,1,1,1
404,622,83,37,1,1,1
405,626,84,34,0,0,0
406,627,85,34,1,2,1
407,628,85,32,2,2,2
408,632,84,32,2,2,2
409,634,86,35,2,2,1
410,635,86,34,1,2,0
411,637,87,59,1,1,1
412,638,87,42,2,1,1
413,639,87,1,1,2,0
414,642,88,3,2,2,2
415,643,88,52,2,2,1
416,644,88,53,2,2,1
417,645,88,67,2,2,2
418,647,88,39,2,2,2
419,648,88,56,2,2,2
420,650,88,27,1,1,1
421,654,89,63,2,2,1
422,655,89,18,2,2,2
423,656,89,68,1,1,1
424,657,89,66,2,2,2
425,659,61,18,1,0,0
426,660,89,65,2,1,0
427,662,89,73,0,0,0
428,663,61,73,1,1,2
429,664,89,74,0,0,0
430,665,61,65,2,2,1
431,668,61,66,1,2,0
432,669,11,63,1,1,1
433,670,11,72,0,1,1
434,671,11,74,0,0,1
435,672,11,57,1,1,1
436,673,11,73,2,2,2
437,674,11,65,1,1,1
438,676,90,76,0,0,0
439,677,91,76,0,0,0
440,678,92,52,1,1,1
441,679,92,55,2,1,1
442,680,92,61,1,1,1
443,681,92,41,0,0,0
444,682,92,67,1,0,1
445,683,92,27,2,2,1
446,686,92,53,2,1,1
447,687,92,56,0,0,0
448,688,37,1,0,1,1
449,690,37,52,1,1,1
450,693,37,39,2,2,2
451,695,93,1,0,0,0
452,696,93,41,0,0,0
453,697,93,53,0,0,0
454,698,93,56,0,0,0
455,699,94,76,1,1,1
456,700,94,29,2,1,0
457,701,94,59,2,2,0
458,702,94,1,1,1,1
459,703,94,47,0,1,0
460,704,94,67,1,1,0
461,705,93,2,0,0,0
462,706,93,62,0,0,0
463,708,94,62,1,1,0
464,709,94,3,1,1,1
465,710,93,29,0,0,0
466,711,94,27,0,0,0
467,713,93,67,0,0,0
468,715,93,26,0,0,0
469,716,93,27,0,0,0
470,717,93,47,0,0,0
471,718,93,3,0,0,0
472,719,95,40,1,0,2
473,721,95,20,2,2,1
474,722,95,45,0,1,0
475,724,95,43,2,2,2
476,725,95,21,2,2,2
477,726,91,1,0,0,0
478,727,91,48,0,0,0
479,728,96,18,1,0,0
480,729,91,2,0,0,0
481,730,96,1,0,0,0
482,731,91,53,0,0,0
483,732,96,22,0,0,0
484,734,96,24,1,0,0
485,737,96,39,2,1,1
486,738,91,62,0,0,0
487,739,96,21,1,1,1
488,741,87,75,2,2,1
489,742,97,51,2,2,2
490,743,97,77,0,0,0
491,747,98,26,2,2,2
492,748,98,67,1,1,1
493,749,97,47,0,0,0
494,750,97,58,2,2,1
495,751,98,2,2,2,2
496,752,97,76,0,2,2
497,753,97,60,2,2,2
498,754,98,27,2,2,2
499,755,97,2,2,2,2
500,757,98,47,2,2,2
501,758,98,29,2,2,2
502,759,98,1,2,2,2
503,761,98,76,1,1,1
504,763,80,3,2,2,2
505,764,80,41,2,2,2
506,765,80,56,2,1,2
507,766,80,62,0,2,1
508,767,80,53,2,2,2
509,768,69,59,0,0,0
510,769,99,64,2,2,2
511,770,100,77,1,1,0
512,771,100,3,2,1,2
513,772,100,67,1,2,1
514,776,101,76,2,2,2
515,777,101,29,2,0,2
516,778,101,62,2,1,1
517,779,101,46,2,1,2
518,780,101,59,2,2,2
519,782,101,1,2,2,1
520,783,101,54,2,1,1
521,785,101,48,2,2,2
522,786,102,78,2,2,1
523,787,102,79,2,2,2
524,788,102,80,1,2,1
525,789,87,78,2,2,1
526,790,100,1,1,2,1
527,791,100,2,1,1,1
528,792,100,59,2,1,1
529,793,100,27,2,1,1
530,795,100,69,2,2,1
531,796,100,22,1,2,1
532,797,100,70,1,2,2
533,798,100,78,1,2,1
534,800,79,60,0,0,0
535,801,79,71,1,1,1
536,803,103,26,2,1,1
537,804,103,1,2,2,2
538,805,103,22,2,1,1
539,807,103,81,2,1,0
540,808,103,24,1,0,0
541,809,103,78,2,1,1
542,810,103,23,2,1,0
543,812,103,54,2,1,1
544,813,104,29,1,1,1
545,815,104,26,1,1,1
546,816,104,81,1,1,1
547,818,104,78,1,1,1
548,819,105,2,2,2,1
549,820,104,46,1,1,1
550,821,105,23,2,2,2
551,823,105,70,1,2,2
552,824,104,76,1,1,1
553,825,104,1,1,1,1
554,826,105,56,0,1,1
555,827,104,42,1,1,1
556,828,104,62,1,1,1
557,829,105,82,2,2,1
558,830,104,75,1,1,1
559,832,105,79,2,2,2
560,833,106,2,0,1,1
561,834,106,23,2,2,2
562,835,104,59,0,0,0
563,836,105,21,2,2,1
564,837,106,69,1,1,1
565,838,105,43,2,2,1
566,839,106,75,1,2,2
567,841,106,28,1,1,1
568,842,105,59,2,2,2
569,845,107,78,1,1,1
570,846,106,24,2,2,2
571,847,107,53,1,1,1
572,849,106,71,1,1,1
573,850,107,82,1,1,1
574,851,107,81,1,1,1
575,852,107,80,1,1,1
576,853,107,76,1,1,1
577,854,107,75,1,1,1
578,855,107,1,1,1,1
579,856,107,47,1,1,1
580,859,108,58,2,1,1
581,860,108,82,1,1,1
582,861,108,1,1,1,1
583,862,108,62,0,1,0
584,863,108,46,0,0,0
585,864,108,2,1,1,0
586,865,108,78,1,1,1
587,866,108,70,1,1,1
588,867,108,79,1,1,1
589,869,109,78,1,1,1
590,870,109,1,2,1,1
591,871,109,79,2,1,2
592,872,109,82,2,0,1
593,874,109,56,2,2,2
594,875,109,3,1,1,1
595,876,109,81,1,1,1
596,877,69,78,0,0,0
597,878,69,62,0,0,0
598,879,110,81,2,2,2
599,881,69,28,0,0,0
600,882,110,1,2,1,2
601,883,110,62,2,2,2
602,884,111,24,1,1,2
603,885,110,70,2,2,2
604,886,110,29,0,2,2
605,887,110,58,2,0,2
606,889,110,2,2,2,1
607,890,110,21,2,2,2
608,891,110,43,2,2,2
609,892,110,47,2,2,2
610,894,110,40,2,2,2
611,895,110,23,2,2,2
612,896,66,2,0,0,0
613,898,66,29,0,0,0
614,899,66,21,0,0,0
615,900,66,81,0,0,0
616,901,66,76,1,1,1
617,902,66,62,0,0,0
618,903,66,42,0,0,0
619,904,66,46,0,0,0
620,905,66,43,1,2,1
621,906,112,2,1,2,1
622,907,112,45,2,2,2
623,908,112,78,1,2,1
624,910,112,21,2,2,1
625,911,112,23,2,2,2
626,912,112,20,2,2,2
627,913,112,56,2,2,2
628,914,87,24,1,1,0
629,915,87,23,2,2,1
630,916,112,22,1,2,1
631,917,112,24,1,2,2
632,918,112,29,1,1,1
633,919,113,44,1,1,0
634,921,113,78,2,1,2
635,922,113,1,1,2,1
636,923,113,24,1,2,0
637,924,113,29,2,2,1
638,925,113,81,1,1,2
639,926,113,69,1,2,2
640,928,114,30,2,2,2
641,929,114,34,2,2,2
642,931,114,35,2,2,1
643,932,114,33,1,2,1
644,933,60,83,2,2,2
645,934,60,84,2,2,2
646,935,60,85,2,2,2
647,936,105,46,2,2,2
648,938,115,23,2,2,1
649,939,115,26,1,1,1
650,940,112,62,1,2,1
651,941,112,28,1,1,2
652,942,112,46,2,2,2
653,945,111,53,2,2,2
654,949,111,70,2,2,2
655,951,116,83,0,0,1
656,952,117,51,1,1,1
657,953,116,59,1,0,0
658,956,111,83,2,2,2
659,957,116,45,0,0,0
660,958,117,83,1,0,0
661,959,116,28,0,0,0
662,960,112,84,2,2,2
663,961,116,78,1,0,0
664,962,112,85,2,2,2
665,963,116,22,0,0,0
666,964,111,1,2,2,2
667,965,116,24,0,0,1
668,966,111,79,2,2,2
669,967,118,72,2,1,2
670,969,116,62,1,0,0
671,970,117,2,1,1,0
672,971,116,70,1,1,1
673,972,112,83,2,1,2
674,975,117,22,1,0,0
675,976,111,39,2,2,2
676,977,111,80,2,2,2
677,978,117,70,1,0,0
678,979,117,23,0,1,1
679,981,117,54,1,0,1
680,982,118,18,2,2,2
681,983,117,62,1,0,1
682,984,118,85,1,0,0
683,985,118,2,0,0,0
684,986,118,26,2,1,0
685,988,118,64,2,2,2
686,991,119,59,2,1,0
687,992,119,29,2,1,1
688,993,119,83,1,1,0
689,994,119,85,2,1,1
690,996,115,84,2,1,2
691,997,115,44,2,1,1
692,998,115,70,0,0,0
693,999,115,1,2,2,2
694,1000,115,54,2,2,2
695,1001,90,48,0,0,0
696,1002,115,2,2,1,1
697,1003,115,46,2,2,2
698,1004,90,29,0,0,0
699,1005,90,75,0,0,0
700,1006,90,59,0,0,0
701,1007,90,80,0,0,0
702,1009,90,78,0,0,0
703,1010,90,3,0,0,0
704,1011,90,83,0,0,0
705,1012,90,81,0,0,0
706,1013,119,78,2,2,1
707,1014,119,84,2,2,1
708,1016,119,40,2,1,1
709,1017,119,20,2,2,1
710,1018,120,83,1,1,1
711,1019,120,59,1,1,1
712,1020,120,75,2,2,2
713,1022,120,79,2,1,2
714,1023,120,24,1,0,1
715,1024,120,23,1,1,2
716,1025,120,2,1,1,1
717,1026,120,45,1,1,2
718,1027,120,54,1,1,2
719,1029,121,57,2,1,2
720,1030,121,73,1,2,1
721,1031,121,72,2,2,2
722,1033,121,65,2,2,2
723,1034,121,74,0,2,0
724,1036,122,24,0,0,0
725,1039,122,81,0,0,0
726,1040,122,83,0,0,0
727,1041,122,53,0,0,0
728,1042,122,62,0,0,0
729,1043,122,3,0,0,0
730,1045,122,70,0,0,0
731,1046,68,78,0,0,0
732,1047,68,47,0,0,0
733,1048,68,27,0,0,0
734,1050,68,1,0,0,0
735,1051,68,70,0,0,0
736,1052,68,53,0,0,0
737,1054,123,51,1,2,2
738,1055,123,29,2,2,0
739,1056,123,48,2,1,1
740,1057,123,77,1,1,1
741,1059,123,76,2,2,1
742,1061,124,78,2,1,1
743,1063,124,41,1,1,1
744,1064,124,2,2,2,0
745,1065,124,53,1,1,1
746,1066,124,70,2,2,2
747,1067,125,75,2,2,2
748,1068,124,58,1,2,1
749,1069,124,56,2,1,0
750,1070,124,80,1,1,2
751,1071,124,1,1,1,1
752,1072,125,39,2,2,2
753,1073,125,42,1,2,1
754,1075,125,28,1,0,2
755,1076,125,60,2,2,2
756,1077,126,25,1,1,2
757,1079,126,70,2,2,2
758,1080,125,84,2,2,2
759,1081,126,78,2,2,2
760,1082,126,42,1,1,1
761,1083,125,21,1,2,1
762,1084,126,60,2,2,2
763,1086,125,85,1,2,2
764,1087,125,23,1,2,1
765,1088,126,85,2,2,2
766,1089,126,45,1,2,2
767,1090,126,22,2,2,2
768,1091,126,26,2,2,2
769,1092,119,28,2,0,1
770,1093,119,48,2,2,2
771,1094,119,69,2,2,1
772,1096,123,60,2,2,2
773,1097,127,48,1,1,1
774,1098,127,29,1,0,0
775,1099,127,59,0,0,0
776,1100,105,58,2,2,2
777,1104,99,66,2,2,2
778,1105,99,68,2,2,0
779,1106,127,47,2,2,2
780,1107,99,74,2,2,0
781,1110,87,81,2,2,2
782,1111,87,3,1,1,0
783,1112,128,6,1,1,1
784,1113,128,8,1,1,1
785,1114,128,4,0,1,0
786,1115,129,6,0,1,1
787,1116,129,14,0,0,0
788,1117,129,13,0,0,0
789,1118,129,9,0,2,0
790,1119,129,5,0,2,0
791,1120,129,17,0,2,0
792,1121,129,7,0,0,0
793,1122,128,5,1,1,1
794,1123,130,38,0,0,1
795,1127,128,10,2,2,2
796,1128,131,11,2,2,1
797,1129,131,4,1,2,1
798,1131,131,6,2,2,1
799,1132,131,5,1,2,1
800,1133,131,9,1,2,1
801,1134,131,17,1,2,1
802,1136,132,19,1,0,1
803,1137,132,38,2,1,2
804,1142,133,19,2,2,1
805,1148,134,19,0,0,0
806,1149,134,38,1,2,1
807,1150,135,13,1,1,1
808,1151,135,14,1,2,1
809,1152,136,16,2,2,1
810,1153,135,10,1,1,1
811,1155,135,6,1,1,1
812,1157,136,15,1,1,0
813,1158,2,8,1,1,0
814,1159,2,17,1,1,1
